Block Name,Block Description,Block Component Name,Block Instance Name,Block Instance Type,Vista_In_Catalogue ,Vista_Master_Port_Instance,Vista_Subtract_Base_Address,,,,,,,,,,,
// Top Block,,,,,,,,,,,,,,,,,,
top,Top block,Low_MEM,flash,memory,,top.ahb_bus.mem_low,TRUE,,,,,,,,,,,
top,,High_MEM,sram,memory,,top.ahb_bus.mem_high,TRUE,,,,,,,,,,,
top,,UART_PL011,uart,block,TRUE,top.apb_bus.uart,TRUE,,,,,,,,,,,
top,,rgb_led,led,block,,top.apb_bus.led,TRUE,,,,,,,,,,,
// LED,,,,,,,,,,,,,,,,,,
rgb_led,LED,RED_EN,RED_EN,register,,,,,,,,,,,,,,
rgb_led,,GREEN_EN,GREEN_EN,register,,,,,,,,,,,,,,
rgb_led,,BLUE_EN,BLUE_EN,register,,,,,,,,,,,,,,
// Uart,,,,,,,,,,,,,,,,,,
UART_PL011,Uart,UARTDR,UARTDR,register,,,,,,,,,,,,,,
UART_PL011,,UARTRSR_ECR,UARTRSR_ECR,register,,,,,,,,,,,,,,
UART_PL011,,UARTFR,UARTFR,register,,,,,,,,,,,,,,
UART_PL011,,UARTILPR,UARTILPR,register,,,,,,,,,,,,,,
UART_PL011,,UARTIBRD,UARTIBRD,register,,,,,,,,,,,,,,
UART_PL011,,UARTFBRD,UARTFBRD,register,,,,,,,,,,,,,,
UART_PL011,,UARTLCR_H,UARTLCR_H,register,,,,,,,,,,,,,,
UART_PL011,,UARTCR,UARTCR,register,,,,,,,,,,,,,,
UART_PL011,,UARTIFLS,UARTIFLS,register,,,,,,,,,,,,,,
UART_PL011,,UARTIMSC,UARTIMSC,register,,,,,,,,,,,,,,
UART_PL011,,UARTRIS,UARTRIS,register,,,,,,,,,,,,,,
UART_PL011,,UARTMIS,UARTMIS,register,,,,,,,,,,,,,,
UART_PL011,,UARTICR,UARTICR,register,,,,,,,,,,,,,,
UART_PL011,,UARTDMACR,UARTDMACR,register,,,,,,,,,,,,,,
UART_PL011,,UARTPeriphID0,UARTPeriphID0,register,,,,,,,,,,,,,,
UART_PL011,,UARTPeriphID1,UARTPeriphID1,register,,,,,,,,,,,,,,
UART_PL011,,UARTPeriphID2,UARTPeriphID2,register,,,,,,,,,,,,,,
UART_PL011,,UARTPeriphID3,UARTPeriphID3,register,,,,,,,,,,,,,,
UART_PL011,,UARTCellID0,UARTCellID0,register,,,,,,,,,,,,,,
UART_PL011,,UARTCellID1,UARTCellID1,register,,,,,,,,,,,,,,
UART_PL011,,UARTCellID2,UARTCellID2,register,,,,,,,,,,,,,,
UART_PL011,,UARTCellID3,UARTCellID3,register,,,,,,,,,,,,,,
