Block Name,BlockMap Name,BlockMap Description,BlockMap Instance Name,BlockMap Instance Address,,,BlockMap Parameter Name,BlockMap Parameter Value,BlockMap Parameter Description,Project Parameter Name,Project Parameter Value,Project Parameter Description,
// Top Block,,,,,,,,,,,,,
top,top_map,Top block map,flash,0x0,,,,,,,,,
top,top_map,,sram,0x20000000,,,,,,,,,
top,top_map,,uart.uart_map,0x4000C000,,,,,,,,,
top,top_map,,led.rgb_led_map,0x4000E000,,,,,,,,,
top,top_map,,controller.controller_map,0x4000F000,,,,,,,,,
// LED,,,,,,,,,,,,,
rgb_led,rgb_led_map,LED map,RED_EN,0x0,,,,,,,,,
rgb_led,rgb_led_map,,GREEN_EN,0x4,,,,,,,,,
rgb_led,rgb_led_map,,BLUE_EN,0x8,,,,,,,,,
// CONTROLLER,,,,,,,,,,,,,
SystemControl,controller_map,Controller map,STATE,0x0,,,,,,,,,
// Uart,,,,,,,,,,,,,
UART_PL011,uart_map,UART map,UARTDR,0x0,,,,,,,,,
UART_PL011,uart_map,,UARTRSR_ECR,0x04,,,,,,,,,
UART_PL011,uart_map,,UARTFR,0x18,,,,,,,,,
UART_PL011,uart_map,,UARTILPR,0x20,,,,,,,,,
UART_PL011,uart_map,,UARTIBRD,0x24,,,,,,,,,
UART_PL011,uart_map,,UARTFBRD,0x28,,,,,,,,,
UART_PL011,uart_map,,UARTLCR_H,0x2C,,,,,,,,,
UART_PL011,uart_map,,UARTCR,0x30,,,,,,,,,
UART_PL011,uart_map,,UARTIFLS,0x34,,,,,,,,,
UART_PL011,uart_map,,UARTIMSC,0x38,,,,,,,,,
UART_PL011,uart_map,,UARTRIS,0x3C,,,,,,,,,
UART_PL011,uart_map,,UARTMIS,0x40,,,,,,,,,
UART_PL011,uart_map,,UARTICR,0x44,,,,,,,,,
UART_PL011,uart_map,,UARTDMACR,0x48,,,,,,,,,
UART_PL011,uart_map,,UARTPeriphID0,0xFE0,,,,,,,,,
UART_PL011,uart_map,,UARTPeriphID1,0xFE4,,,,,,,,,
UART_PL011,uart_map,,UARTPeriphID2,0xFE8,,,,,,,,,
UART_PL011,uart_map,,UARTPeriphID,0xFEC,,,,,,,,,
UART_PL011,uart_map,,UARTCellID0,0xFF0,,,,,,,,,
UART_PL011,uart_map,,UARTCellID1,0xFF4,,,,,,,,,
UART_PL011,uart_map,,UARTCellID2,0xFF8,,,,,,,,,
UART_PL011,uart_map,,UARTCellID3,0xFFC,,,,,,,,,
