Register Name,Register Description,Register Address,Register Width,Register Reset Value,Register Access,Field Name,Field Description,Field Offset,Field Width,Field Reset Value,Field Access,Vista_Access_Port,Vista_Is_Trigger,Field Hw Access,Field Condition,Field Action,Field Logic Comment,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints,Field Parameter Name,Field Parameter Value,Field Parameter Description,,,,,,,,,,,
// rgb_led,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED_EN,,0x0,32,0x0,RW,,,,,,,slave,TRUE,,,,,,,,,,,,,,,,,,,,,,
GREEN_EN,,0x4,32,0x0,RW,,,,,,,slave,TRUE,,,,,,,,,,,,,,,,,,,,,,
BLUE_EN,,0x8,32,0x0,RW,,,,,,,slave,TRUE,,,,,,,,,,,,,,,,,,,,,,
// controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,0x0,32,0x0,RW,,,,,,,from_bus,TRUE,,,,,,,,,,,,,,,,,,,,,,
// UART_PL011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTDR,,0x0,16,0x0,RW,UARTDR_BE,,10,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTDR,,,,,,UARTDR_PE,,9,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTDR,,,,,,UARTDR_FE,,8,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTRSR_ECR,,0x04,16,0x0,RW,UARTRSR_ECR_OE,,3,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTRSR_ECR,,,,,,UARTRSR_ECR_BE,,2,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTRSR_ECR,,,,,,UARTRSR_ECR_PE,,1,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTRSR_ECR,,,,,,UARTRSR_ECR_FE,,0,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,0x18,16,0x90,RO,UARTFR_RI,,8,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,,,,,UARTFR_TXFE,,7,1,0x1,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,,,,,UARTFR_RXFF,,6,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,,,,,UARTFR_TXFF,,5,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,,,,,UARTFR_RXFE,,4,1,0x1,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,,,,,UARTFR_BUSY,,3,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,,,,,UARTFR_DCD,,2,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,,,,,UARTFR_DSR,,1,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTFR,,,,,,UARTFR_CTS,,0,1,0x0,RO,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTILPR,,0x20,16,0x0,RW,,,,,,,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTIBRD,,0x24,16,0x0,RW,,,,,,,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTFBRD,,0x28,16,0x0,RW,,,,,,,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
